[02-12 14:14:40]AddBoatLevel: count, level, money, exp 1  2  2  4  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 2  3  5  9  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 3  4  8  16  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 4  5  13  25  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 5  6  18  36  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 6  7  24  49  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 7  8  31  64  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 8  9  40  81  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 9  10  50  100  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 10  11  61  121  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 11  12  75  144  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 12  13  91  169  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 13  14  109  196  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 14  15  130  225  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 15  16  155  256  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 16  17  183  289  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 17  18  216  324  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 18  19  253  361  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 19  20  296  400  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 20  21  345  441  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 21  22  402  484  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 22  23  466  529  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 23  24  540  576  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 24  25  625  625  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 25  26  721  676  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 26  27  831  729  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 27  28  957  784  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 28  29  1101  841  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 29  30  1264  900  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 30  31  1451  961  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 31  32  1663  1024  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 32  33  1905  1089  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 33  34  2180  1156  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 34  35  2494  1225  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 35  36  2850  1296  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 36  37  3256  1369  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 37  38  3718  1444  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 38  39  4242  1521  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 39  40  4838  1600  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 40  41  5516  1681  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 41  42  6286  1764  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 42  43  7161  1849  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 43  44  8154  1936  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 44  45  9283  2025  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 45  46  10565  2116  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 46  47  12020  2209  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 47  48  13672  2304  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 48  49  15548  2401  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 49  50  17677  2500  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 50  51  20094  2601  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 51  52  22837  2704  
