[02-12 14:14:42]create bugbear1070  pos = 95965 259132, angle = 145, rTime = 14400
[02-12 14:14:42]create bugbear471  pos = 91765 123732, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 83360 104793, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 83818 104757, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 83018 106954, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 83471 106730, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 83291 106915, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 84512 111113, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 84660 111241, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 85207 113368, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 99853 122272, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 99647 122326, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 97398 123257, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 95755 123412, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 93903 123527, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 94150 123469, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 93525 121911, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 93228 121895, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 92264 118384, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 92224 118512, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 91090 114878, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 91278 114986, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 89463 109557, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 89641 109640, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 92709 103590, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 92595 104245, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 84858 106448, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 87092 108349, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 86962 108469, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 90067 109571, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 94549 110296, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 94394 110181, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 96980 113876, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 96802 114042, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 99930 119048, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 100119 119067, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 98873 113851, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 102170 115141, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 102375 115307, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 102760 119837, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 102586 119857, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 97337 121579, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 97422 121670, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 94993 122529, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 94684 122822, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 91492 123538, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear471  pos = 91573 123653, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 187215 262486, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 189385 274069, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 189531 273978, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 189536 274079, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 190857 272805, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 190762 272697, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 191214 271424, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 191292 271486, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 190880 269154, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 189736 267752, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 190654 269188, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 189950 267558, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 190727 264810, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 190531 264813, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 188209 264447, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 188396 265263, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 187606 262961, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 187620 263124, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 187281 266378, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 187181 266454, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 187297 266472, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 186851 268803, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 186970 268962, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 185802 272902, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 185731 273032, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 184654 270906, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 184789 270864, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 183567 275048, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 183671 274953, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 180487 275767, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 178370 274946, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 178521 275025, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 178781 272366, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 178770 272506, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 178112 270106, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 178015 269959, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 179046 268100, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 180810 265441, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 180772 265307, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 179253 264020, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 179396 263923, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 184018 266521, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 184022 266697, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 186947 262675, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear208  pos = 187059 262676, angle = 175, rTime = 60
[02-12 14:14:42]create bugbear207  pos = 163323 311541, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 168255 316499, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 168354 316506, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 168079 313814, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 168216 313831, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 167739 311907, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 167842 310269, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 167691 310167, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 164375 310981, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 164485 310909, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 162936 308689, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 162181 307570, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 162079 308139, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 161555 305644, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 162719 304166, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 162839 304238, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 156654 301236, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 156479 301244, angle = 145, rTime = 40
