[02-12 14:14:42]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  225065  281984  0  1  2231  2827  0  
[02-12 14:14:42]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  326048  330919  -10  5  3260  3280  0  
[02-12 14:14:42]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  230572  112347  -10  6  2273  1122  0  
[02-12 14:14:42]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  363213  74776  -10  7  3590  755  0  
[02-12 14:14:42]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  105831  133151  -10  2  1058  1323  0  
[02-12 14:14:42]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  306925  352225  -10  2  3101  3511  0  
[02-12 14:14:42]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  30225  32576  0  12  303  305  0  
[02-12 14:14:43]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  63614  91411  -10  12  631  927  0  
[02-12 14:14:43]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  65411  100611  -10  12  658  993  0  
[02-12 14:14:43]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  62411  62811  -10  12  612  622  0  
[02-12 14:14:43]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  38011  15611  -10  12  370  165  0  
[02-12 14:14:43]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  108200  22500  -10  12  1082  211  0  
[02-12 14:21:24]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  225065  281984  0  1  2231  2827  0  
[02-12 14:21:24]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  326048  330919  -10  5  3260  3280  0  
[02-12 14:21:24]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  230572  112347  -10  6  2273  1122  0  
[02-12 14:21:24]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  363213  74776  -10  7  3590  755  0  
[02-12 14:21:24]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  105831  133151  -10  2  1058  1323  0  
[02-12 14:21:24]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  306925  352225  -10  2  3101  3511  0  
[02-12 14:21:24]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  30225  32576  0  12  303  305  0  
[02-12 14:21:25]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  63614  91411  -10  12  631  927  0  
[02-12 14:21:25]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  65411  100611  -10  12  658  993  0  
[02-12 14:21:25]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  62411  62811  -10  12  612  622  0  
[02-12 14:21:25]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  38011  15611  -10  12  370  165  0  
[02-12 14:21:25]CreateBerthEntity:name, cid, infoid, xpos1, ypos1, dir1, berth, xpos2, ypos2, dir2 Docked  455  2  108200  22500  -10  12  1082  211  0  
